,London,Paris,Berlin,Madrid,Rome,Vienna,Warsaw,Budapest,Prague,Lisbon,Brussels,Dublin,Copenhagen,Stockholm,Oslo,Helsinki,Athens,Amsterdam,Zurich,Monaco,Bucharest,Sofia,Belgrade,Zagreb,Tallinn,Riga,Vilnius,Bratislava,Luxembourg City,Bern,Nicosia,Ljubljana,Marseille,Milan,Frankfurt,Munich,Valencia,Naples,Seville,Antwerp,Basel,Gothenburg,Bergen,Thessaloniki,Edinburgh,Porto,Krakow,Manchester,Bologna,Marseille.1,Valencia.1,Zurich.1
London,0.0,26.43,90.55,124.5,135.5,119.99,145.28,145.09,99.49,150.78,30.39,46.69,91.63,144.46,117.96,184.84,231.07,36.34,73.31,103.48,208.89,201.27,168.46,129.67,181.03,167.17,171.54,126.9,48.29,75.77,317.87,123.41,96.64,94.4,57.63,86.05,133.43,163.36,160.63,27.99,67.67,102.71,104.84,221.91,48.79,127.04,134.47,26.11,113.3,96.64,133.43,73.31
Paris,26.43,0.0,84.54,107.58,109.97,103.6,138.03,128.14,87.27,141.49,18.23,71.43,95.42,151.88,132.55,190.67,207.78,39.53,49.86,77.05,191.01,180.43,148.12,107.97,185.42,167.02,167.74,110.89,29.18,50.22,296.66,103.04,70.61,69.2,44.72,67.2,112.33,137.78,144.92,26.43,43.33,111.08,123.81,200.08,67.07,118.52,123.0,52.53,88.42,70.61,112.33,49.86
Berlin,90.55,84.54,0.0,181.08,111.45,49.37,54.74,70.44,23.31,222.69,66.74,128.71,34.01,83.91,90.87,115.75,174.03,54.74,66.26,109.67,131.05,134.32,102.97,79.21,108.19,84.4,83.21,52.86,59.66,79.73,246.82,68.29,116.57,83.2,41.44,46.71,175.95,133.65,218.32,63.24,70.44,55.97,101.76,157.8,73.99,200.75,47.49,101.95,90.18,116.57,175.95,66.26
Madrid,124.5,107.58,181.08,0.0,127.66,175.4,226.67,192.92,173.16,52.66,123.94,146.33,200.36,257.68,240.01,294.77,224.97,146.84,117.82,89.64,242.43,218.48,194.5,157.28,288.32,265.25,260.46,182.27,122.74,105.05,320.18,160.39,74.46,112.83,140.56,142.64,28.04,144.59,37.62,133.78,111.92,217.88,229.23,229.1,172.62,43.71,204.44,144.75,123.75,74.46,28.04,117.82
Rome,135.5,109.97,111.45,127.66,0.0,73.73,130.25,78.51,90.28,180.19,108.18,181.4,144.55,193.55,200.62,218.94,103.61,123.08,63.99,42.46,115.85,90.83,68.72,41.2,209.35,178.02,164.25,77.4,90.74,59.79,197.96,50.53,58.44,41.2,94.13,67.18,106.7,27.86,155.76,117.17,68.26,166.79,205.78,103.04,158.73,166.55,103.99,160.74,23.68,58.44,106.7,63.99
Vienna,119.99,103.6,49.37,175.4,73.73,0.0,57.03,25.13,26.6,223.74,90.21,164.45,82.58,123.01,138.94,145.52,124.79,90.2,61.09,89.4,89.03,86.41,54.14,34.22,135.75,104.31,91.61,7.44,74.46,71.73,201.46,23.5,102.03,63.08,62.41,37.2,162.76,90.37,210.06,92.72,68.48,103.63,151.12,109.45,118.65,204.58,31.2,138.43,58.88,102.03,162.76,61.09
Warsaw,145.28,138.03,54.74,226.67,130.25,57.03,0.0,57.44,53.77,271.95,120.73,182.02,68.16,80.08,111.91,92.33,156.45,109.31,108.88,144.71,96.36,112.21,89.26,89.44,81.78,48.6,34.79,52.86,110.98,121.68,211.73,79.73,155.8,117.53,93.51,84.07,216.93,143.81,262.74,117.93,115.11,80.31,132.83,135.4,123.25,251.04,26.27,155.41,115.75,155.8,216.93,108.88
Budapest,145.09,128.14,70.44,192.92,78.51,25.13,57.44,0.0,49.68,242.85,115.22,189.55,101.43,133.6,156.0,149.75,105.27,115.11,83.35,104.16,63.91,63.99,34.26,38.06,139.21,105.82,88.58,18.69,99.11,92.43,177.24,32.57,118.51,80.32,87.54,61.09,177.61,87.62,226.04,117.85,90.91,120.93,170.89,87.62,142.43,224.75,33.36,163.47,70.66,118.51,177.61,83.35
Prague,99.49,87.27,23.31,173.16,90.28,26.6,53.77,49.68,0.0,218.21,71.42,141.89,57.22,103.31,114.03,131.1,151.36,66.74,55.35,94.4,112.62,112.73,80.7,56.1,122.39,94.32,87.32,31.2,58.8,68.44,226.92,45.09,103.79,67.06,42.87,31.2,164.65,111.19,209.54,71.54,61.38,78.94,124.88,135.93,92.75,197.44,35.73,115.39,70.47,103.79,164.65,55.35
Lisbon,150.78,141.49,222.69,52.66,180.19,223.74,271.95,242.85,218.21,0.0,159.5,157.35,236.91,293.05,268.64,332.15,277.26,180.45,163.85,141.18,294.44,271.02,246.46,208.33,326.85,306.91,304.65,230.86,163.04,152.11,372.31,210.57,125.43,162.55,181.26,188.98,77.74,197.11,41.5,167.56,157.14,251.74,253.24,281.74,199.19,23.81,251.39,164.6,175.07,125.43,77.74,163.85
