,London,Paris,Berlin,Madrid,Rome,Vienna,Warsaw,Budapest,Prague,Lisbon,Brussels,Dublin,Copenhagen,Stockholm,Oslo,Helsinki,Athens,Amsterdam,Zurich,Monaco,Bucharest,Sofia,Belgrade,Zagreb,Tallinn,Riga,Vilnius,Bratislava,Luxembourg City,Bern,Nicosia,Ljubljana,Marseille,Milan,Frankfurt,Munich,Valencia,Naples,Seville,Antwerp,Basel,Gothenburg,Bergen,Thessaloniki,Edinburgh,Porto,Krakow,Manchester,Bologna,Marseille.1,Valencia.1,Zurich.1
London,0.0,3.3,11.32,15.56,16.94,15.0,18.16,18.14,12.44,18.85,3.8,5.84,11.45,18.06,14.75,23.11,28.88,4.54,9.16,12.94,26.11,25.16,21.06,16.21,22.63,20.9,21.44,15.86,6.04,9.47,39.73,15.43,12.08,11.8,7.2,10.76,16.68,20.42,20.08,3.5,8.46,12.84,13.1,27.74,6.1,15.88,16.81,3.26,14.16,12.08,16.68,9.16
Paris,3.3,0.0,10.57,13.45,13.75,12.95,17.25,16.02,10.91,17.69,2.28,8.93,11.93,18.99,16.57,23.83,25.97,4.94,6.23,9.63,23.88,22.55,18.51,13.5,23.18,20.88,20.97,13.86,3.65,6.28,37.08,12.88,8.83,8.65,5.59,8.4,14.04,17.22,18.11,3.3,5.42,13.88,15.48,25.01,8.38,14.82,15.38,6.57,11.05,8.83,14.04,6.23
Berlin,11.32,10.57,0.0,22.64,13.93,6.17,6.84,8.8,2.91,27.84,8.34,16.09,4.25,10.49,11.36,14.47,21.75,6.84,8.28,13.71,16.38,16.79,12.87,9.9,13.52,10.55,10.4,6.61,7.46,9.97,30.85,8.54,14.57,10.4,5.18,5.84,21.99,16.71,27.29,7.9,8.8,7.0,12.72,19.73,9.25,25.09,5.94,12.74,11.27,14.57,21.99,8.28
Madrid,15.56,13.45,22.64,0.0,15.96,21.92,28.33,24.11,21.64,6.58,15.49,18.29,25.05,32.21,30.0,36.85,28.12,18.35,14.73,11.2,30.3,27.31,24.31,19.66,36.04,33.16,32.56,22.78,15.34,13.13,40.02,20.05,9.31,14.1,17.57,17.83,3.5,18.07,4.7,16.72,13.99,27.24,28.65,28.64,21.58,5.46,25.56,18.09,15.47,9.31,3.5,14.73
Rome,16.94,13.75,13.93,15.96,0.0,9.22,16.28,9.81,11.28,22.52,13.52,22.68,18.07,24.19,25.08,27.37,12.95,15.38,8.0,5.31,14.48,11.35,8.59,5.15,26.17,22.25,20.53,9.67,11.34,7.47,24.75,6.32,7.3,5.15,11.77,8.4,13.34,3.48,19.47,14.65,8.53,20.85,25.72,12.88,19.84,20.82,13.0,20.09,2.96,7.3,13.34,8.0
Vienna,15.0,12.95,6.17,21.92,9.22,0.0,7.13,3.14,3.32,27.97,11.28,20.56,10.32,15.38,17.37,18.19,15.6,11.27,7.64,11.18,11.13,10.8,6.77,4.28,16.97,13.04,11.45,0.93,9.31,8.97,25.18,2.94,12.75,7.88,7.8,4.65,20.35,11.3,26.26,11.59,8.56,12.95,18.89,13.68,14.83,25.57,3.9,17.3,7.36,12.75,20.35,7.64
Warsaw,18.16,17.25,6.84,28.33,16.28,7.13,0.0,7.18,6.72,33.99,15.09,22.75,8.52,10.01,13.99,11.54,19.56,13.66,13.61,18.09,12.05,14.03,11.16,11.18,10.22,6.07,4.35,6.61,13.87,15.21,26.47,9.97,19.48,14.69,11.69,10.51,27.12,17.98,32.84,14.74,14.39,10.04,16.6,16.93,15.41,31.38,3.28,19.43,14.47,19.48,27.12,13.61
Budapest,18.14,16.02,8.8,24.11,9.81,3.14,7.18,0.0,6.21,30.36,14.4,23.69,12.68,16.7,19.5,18.72,13.16,14.39,10.42,13.02,7.99,8.0,4.28,4.76,17.4,13.23,11.07,2.34,12.39,11.55,22.15,4.07,14.81,10.04,10.94,7.64,22.2,10.95,28.25,14.73,11.36,15.12,21.36,10.95,17.8,28.09,4.17,20.43,8.83,14.81,22.2,10.42
Prague,12.44,10.91,2.91,21.64,11.28,3.32,6.72,6.21,0.0,27.28,8.93,17.74,7.15,12.91,14.25,16.39,18.92,8.34,6.92,11.8,14.08,14.09,10.09,7.01,15.3,11.79,10.91,3.9,7.35,8.55,28.36,5.64,12.97,8.38,5.36,3.9,20.58,13.9,26.19,8.94,7.67,9.87,15.61,16.99,11.59,24.68,4.47,14.42,8.81,12.97,20.58,6.92
Lisbon,18.85,17.69,27.84,6.58,22.52,27.97,33.99,30.36,27.28,0.0,19.94,19.67,29.61,36.63,33.58,41.52,34.66,22.56,20.48,17.65,36.8,33.88,30.81,26.04,40.86,38.36,38.08,28.86,20.38,19.01,46.54,26.32,15.68,20.32,22.66,23.62,9.72,24.64,5.19,20.95,19.64,31.47,31.65,35.22,24.9,2.98,31.42,20.58,21.88,15.68,9.72,20.48
Brussels,3.8,2.28,8.34,15.49,13.52,11.28,15.09,14.4,8.93,19.94,0.0,9.59,9.69,16.79,14.68,21.59,25.15,2.91,5.56,10.14,22.36,21.36,17.26,12.43,20.92,18.6,18.73,12.16,2.28,6.22,35.94,11.63,9.78,8.38,3.57,6.96,15.79,16.99,20.19,1.39,5.0,11.75,13.92,23.95,7.0,17.08,13.38,6.65,10.65,9.78,15.79,5.56
Dublin,5.84,8.93,16.09,18.29,22.68,20.56,22.75,23.69,17.74,19.67,9.59,0.0,14.92,20.29,15.59,25.4,34.72,9.4,14.99,18.37,31.68,30.92,26.81,22.02,25.23,24.37,25.46,21.38,11.86,15.2,45.5,21.2,17.22,17.57,12.79,16.51,20.29,26.15,22.26,8.99,14.26,15.33,12.85,33.54,7.85,16.78,21.91,3.35,19.95,17.22,20.29,14.99
Copenhagen,11.45,11.93,4.25,25.05,18.07,10.32,8.52,12.68,7.15,29.61,9.69,14.92,0.0,7.17,7.11,11.91,25.79,7.13,11.65,17.28,19.76,20.66,16.88,14.15,11.28,9.54,10.57,10.64,9.79,13.26,34.34,12.78,17.84,14.15,7.73,9.77,24.9,20.93,29.75,8.69,11.94,2.78,8.69,23.62,7.17,26.73,9.12,11.75,15.32,17.84,24.9,11.65
Stockholm,18.06,18.99,10.49,32.21,24.19,15.38,10.01,16.7,12.91,36.63,16.79,20.29,7.17,0.0,5.81,5.13,29.53,14.08,18.61,24.16,21.93,24.02,20.92,19.62,5.01,6.12,8.77,15.31,16.95,20.27,36.07,18.24,24.88,20.88,14.85,16.33,32.05,26.64,36.91,15.7,18.99,5.22,9.26,26.93,12.61,33.71,12.54,17.55,21.68,24.88,32.05,18.61
