,London,Paris,Berlin,Madrid,Rome,Vienna,Warsaw,Budapest,Prague,Lisbon,Brussels,Dublin,Copenhagen,Stockholm,Oslo,Helsinki,Athens,Amsterdam,Zurich,Monaco,Bucharest,Sofia,Belgrade,Zagreb,Tallinn,Riga,Vilnius,Bratislava,Luxembourg City,Bern,Nicosia,Ljubljana,Marseille,Milan,Frankfurt,Munich,Valencia,Naples,Seville,Antwerp,Basel,Gothenburg,Bergen,Thessaloniki,Edinburgh,Porto,Krakow,Manchester,Bologna,Marseille.1,Valencia.1,Zurich.1
London,0.0,2.64,9.05,12.45,13.55,12.0,14.53,14.51,9.95,15.08,3.04,4.67,9.16,14.45,11.8,18.48,23.11,3.63,7.33,10.35,20.89,20.13,16.85,12.97,18.1,16.72,17.15,12.69,4.83,7.58,31.79,12.34,9.66,9.44,5.76,8.6,13.34,16.34,16.06,2.8,6.77,10.27,10.48,22.19,4.88,12.7,13.45,2.61,11.33,9.66,13.34,7.33
Paris,2.64,0.0,8.45,10.76,11.0,10.36,13.8,12.81,8.73,14.15,1.82,7.14,9.54,15.19,13.26,19.07,20.78,3.95,4.99,7.7,19.1,18.04,14.81,10.8,18.54,16.7,16.77,11.09,2.92,5.02,29.67,10.3,7.06,6.92,4.47,6.72,11.23,13.78,14.49,2.64,4.33,11.11,12.38,20.01,6.71,11.85,12.3,5.25,8.84,7.06,11.23,4.99
Berlin,9.05,8.45,0.0,18.11,11.15,4.94,5.47,7.04,2.33,22.27,6.67,12.87,3.4,8.39,9.09,11.57,17.4,5.47,6.63,10.97,13.11,13.43,10.3,7.92,10.82,8.44,8.32,5.29,5.97,7.97,24.68,6.83,11.66,8.32,4.14,4.67,17.59,13.37,21.83,6.32,7.04,5.6,10.18,15.78,7.4,20.07,4.75,10.2,9.02,11.66,17.59,6.63
Madrid,12.45,10.76,18.11,0.0,12.77,17.54,22.67,19.29,17.32,5.27,12.39,14.63,20.04,25.77,24.0,29.48,22.5,14.68,11.78,8.96,24.24,21.85,19.45,15.73,28.83,26.53,26.05,18.23,12.27,10.5,32.02,16.04,7.45,11.28,14.06,14.26,2.8,14.46,3.76,13.38,11.19,21.79,22.92,22.91,17.26,4.37,20.44,14.48,12.37,7.45,2.8,11.78
Rome,13.55,11.0,11.15,12.77,0.0,7.37,13.02,7.85,9.03,18.02,10.82,18.14,14.46,19.35,20.06,21.89,10.36,12.31,6.4,4.25,11.59,9.08,6.87,4.12,20.94,17.8,16.42,7.74,9.07,5.98,19.8,5.05,5.84,4.12,9.41,6.72,10.67,2.79,15.58,11.72,6.83,16.68,20.58,10.3,15.87,16.66,10.4,16.07,2.37,5.84,10.67,6.4
Vienna,12.0,10.36,4.94,17.54,7.37,0.0,5.7,2.51,2.66,22.37,9.02,16.44,8.26,12.3,13.89,14.55,12.48,9.02,6.11,8.94,8.9,8.64,5.41,3.42,13.58,10.43,9.16,0.74,7.45,7.17,20.15,2.35,10.2,6.31,6.24,3.72,16.28,9.04,21.01,9.27,6.85,10.36,15.11,10.95,11.86,20.46,3.12,13.84,5.89,10.2,16.28,6.11
Warsaw,14.53,13.8,5.47,22.67,13.02,5.7,0.0,5.74,5.38,27.2,12.07,18.2,6.82,8.01,11.19,9.23,15.64,10.93,10.89,14.47,9.64,11.22,8.93,8.94,8.18,4.86,3.48,5.29,11.1,12.17,21.17,7.97,15.58,11.75,9.35,8.41,21.69,14.38,26.27,11.79,11.51,8.03,13.28,13.54,12.32,25.1,2.63,15.54,11.58,15.58,21.69,10.89
Budapest,14.51,12.81,7.04,19.29,7.85,2.51,5.74,0.0,4.97,24.28,11.52,18.95,10.14,13.36,15.6,14.98,10.53,11.51,8.33,10.42,6.39,6.4,3.43,3.81,13.92,10.58,8.86,1.87,9.91,9.24,17.72,3.26,11.85,8.03,8.75,6.11,17.76,8.76,22.6,11.79,9.09,12.09,17.09,8.76,14.24,22.47,3.34,16.35,7.07,11.85,17.76,8.33
Prague,9.95,8.73,2.33,17.32,9.03,2.66,5.38,4.97,0.0,21.82,7.14,14.19,5.72,10.33,11.4,13.11,15.14,6.67,5.54,9.44,11.26,11.27,8.07,5.61,12.24,9.43,8.73,3.12,5.88,6.84,22.69,4.51,10.38,6.71,4.29,3.12,16.47,11.12,20.95,7.15,6.14,7.89,12.49,13.59,9.28,19.74,3.57,11.54,7.05,10.38,16.47,5.54
Lisbon,15.08,14.15,22.27,5.27,18.02,22.37,27.2,24.28,21.82,0.0,15.95,15.74,23.69,29.3,26.86,33.22,27.73,18.04,16.39,14.12,29.44,27.1,24.65,20.83,32.68,30.69,30.47,23.09,16.3,15.21,37.23,21.06,12.54,16.26,18.13,18.9,7.77,19.71,4.15,16.76,15.71,25.17,25.32,28.17,19.92,2.38,25.14,16.46,17.51,12.54,7.77,16.39
