,London,Paris,Berlin,Rome,Madrid,Vienna ,Amsterdam,Brussels,Zurich,Lisbon,Stockholm,Oslo,Copenhagen,Helsinki,Dublin,Warsaw,Budapest,Prague,Athens,Brastislava,Ljubljana,Zagreb,Belgrade,Sofia,Bucharest,Tallinn,Riga,Vilnius,Sarajevo,Skopje,Podgorica,Tirana,Nicosia,Genebra,Dubrovnik,Vaduz,Chisinau,Reykjavik,Valleta,Luxembourg City,Monaco,Andorra la Vella,San Marino,Munich,Manchester,Seville,Milan,Nice,Porto ,Istambul
London,N/A,92,138,236,99,70,117,135,140,100,42,28,91,105,34,158,59,46,105,44,258,120,368,44,53,72,46,75,49,66,69,139,82,114,30,98,274,124,197,73,262,73,71,83,103,60,42,207,53,66
Paris,147,N/A,179,324,195,125,136,266,240,146,255,53,50,247,40,77,85,191,46,103,238,250,170,81,58,288,232,101,N/A,112,N/A,30,N/A,120,N/A,158,257,251,44,142,187,79,42,128,69,205,45,110,61,161
Berlin,194,211,N/A,311,280,175,148,164,91,219,85,136,147,140,70,184,50,N/A,N/A,197,N/A,N/A,125,81,71,107,88,93,N/A,91,N/A,80,304,88,N/A,131,264,263,N/A,228,175,137,91,139,302,N/A,66,N/A,126,111
Rome,85,91,107,N/A,91,86,203,77,230,94,131,183,77,323,96,104,53,64,60,107,N/A,50,201,76,40,138,50,96,45,101,N/A,34,59,74,N/A,170,96,440,30,248,38,46,134,177,65,48,122,95,70,198
Madrid,148,163,148,171,N/A,201,136,79,158,72,401,275,119,507,145,219,84,113,N/A,122,N/A,N/A,209,93,92,N/A,N/A,N/A,N/A,N/A,N/A,60,N/A,164,N/A,145,N/A,246,61,74,105,58,84,153,56,46,68,167,44,253
Vienna ,95,314,289,222,167,N/A,228,41,192,367,156,142,98,306,163,87,401,243,271,N/A,N/A,246,169,99,124,68,115,166,222,203,171,44,158,223,63,192,239,175,76,417,173,131,91,163,140,142,59,142,197,109
Amsterdam,152,173,128,578,231,176,N/A,204,180,368,196,141,186,248,95,207,205,130,313,176,153,314,226,321,160,258,168,250,N/A,N/A,N/A,131,222,150,N/A,179,N/A,170,N/A,254,506,163,292,169,75,225,119,358,177,179
Brussels,191,341,305,476,208,36,213,N/A,362,148,45,110,213,52,36,90,60,200,47,43,281,53,N/A,55,46,208,126,185,54,154,N/A,30,N/A,87,30,277,339,N/A,74,N/A,202,92,49,176,41,138,41,96,61,128
Zurich,203,224,110,349,171,306,240,319,N/A,256,340,113,144,389,325,126,198,207,232,231,342,272,172,N/A,263,N/A,195,N/A,177,163,N/A,185,424,170,N/A,N/A,N/A,N/A,159,239,388,204,170,209,82,N/A,141,292,153,82
Lisbon,126,136,256,188,76,125,197,56,286,N/A,321,474,474,535,85,515,178,331,N/A,470,N/A,N/A,166,N/A,117,N/A,390,305,N/A,N/A,N/A,N/A,N/A,88,N/A,116,N/A,245,63,93,129,64,265,230,58,59,75,122,79,404
Stockholm,473,328,170,427,407,79,235,135,264,472,N/A,96,90,86,210,90,84,139,N/A,493,N/A,N/A,95,N/A,79,36,49,34,N/A,N/A,N/A,60,256,143,N/A,264,N/A,405,94,245,289,373,N/A,193,164,N/A,383,N/A,84,146
Oslo,171,225,130,603,300,197,172,152,217,364,93,N/A,125,162,251,104,136,126,N/A,185,N/A,N/A,157,N/A,145,99,37,52,N/A,123,N/A,50,233,70,N/A,185,N/A,302,N/A,329,300,209,N/A,205,37,N/A,86,N/A,N/A,150
Copenhagen,121,100,103,280,149,46,181,195,189,530,93,113,N/A,157,189,89,51,212,307,90,N/A,246,62,75,68,119,68,222,N/A,N/A,N/A,N/A,200,135,N/A,222,N/A,227,N/A,210,316,205,68,126,64,N/A,60,110,N/A,104
Helsinki,116,266,181,503,603,344,198,65,364,591,57,103,164,N/A,508,92,299,266,N/A,83,N/A,N/A,N/A,N/A,N/A,149,82,185,N/A,N/A,N/A,N/A,N/A,323,N/A,323,N/A,278,N/A,N/A,255,392,N/A,210,418,N/A,177,N/A,N/A,207
Dublin,41,95,83,301,149,217,44,35,208,139,102,98,216,372,N/A,132,121,140,118,132,N/A,117,N/A,113,200,89,118,147,N/A,N/A,N/A,N/A,N/A,231,N/A,208,304,266,78,82,169,150,97,90,41,145,104,389,90,166
Warsaw,148,260,228,205,270,69,205,50,248,415,32,162,44,209,134,N/A,135,335,309,50,461,389,214,319,202,193,142,197,N/A,161,166,59,149,248,163,164,146,132,116,269,136,120,49,203,103,180,75,116,N/A,243
Budapest,79,107,59,110,212,147,202,44,196,220,47,150,111,321,89,126,N/A,82,N/A,160,N/A,N/A,181,40,85,N/A,N/A,N/A,N/A,117,35,90,155,166,N/A,196,106,175,155,N/A,100,86,117,302,178,152,51,60,208,152
Prague,59,161,N/A,123,198,215,109,59,217,563,284,143,197,334,118,203,71,N/A,N/A,215,N/A,N/A,362,238,362,N/A,71,N/A,N/A,N/A,N/A,171,305,139,N/A,222,233,N/A,N/A,260,124,195,121,361,107,181,52,N/A,N/A,181
Athens,138,277,413,198,364,100,202,99,209,451,302,485,293,472,152,191,61,316,N/A,177,N/A,150,244,127,62,N/A,178,N/A,N/A,N/A,N/A,61,117,87,N/A,148,188,N/A,226,234,312,145,61,196,177,N/A,43,181,N/A,81
Brastislava,95,314,289,214,175,N/A,228,41,192,367,232,142,98,306,138,87,401,243,296,N/A,N/A,246,152,109,137,101,62,166,224,72,171,30,203,223,63,192,239,165,182,417,302,131,137,163,55,142,59,142,N/A,109
Ljubljana,278,369,N/A,N/A,N/A,N/A,141,198,293,N/A,N/A,N/A,N/A,N/A,N/A,245,N/A,N/A,N/A,N/A,N/A,N/A,196,N/A,N/A,N/A,N/A,N/A,N/A,64,110,N/A,N/A,N/A,N/A,261,N/A,N/A,N/A,N/A,N/A,N/A,N/A,456,N/A,N/A,N/A,N/A,N/A,229
Zagreb,219,575,N/A,137,N/A,254,304,75,356,N/A,N/A,N/A,288,N/A,191,262,N/A,N/A,N/A,280,N/A,N/A,218,N/A,N/A,N/A,N/A,N/A,143,144,N/A,N/A,N/A,N/A,129,268,N/A,N/A,74,N/A,N/A,N/A,N/A,179,N/A,N/A,48,N/A,N/A,259
Belgrade,126,402,198,222,283,173,258,293,254,197,370,227,229,N/A,N/A,217,182,387,216,228,197,217,N/A,420,125,N/A,N/A,N/A,156,148,130,151,106,106,N/A,182,N/A,N/A,65,N/A,76,154,219,283,N/A,N/A,185,N/A,N/A,184
