,London,Paris,Berlin,Rome,Madrid,Vienna ,Amsterdam,Brussels,Zurich,Lisbon,Stockholm,Oslo,Copenhagen,Helsinki,Dublin,Warsaw,Budapest,Prague,Athens,Brastislava,Ljubljana,Zagreb,Belgrade,Sofia,Bucharest,Tallinn,Riga,Vilnius,Sarajevo,Skopje,Podgorica,Tirana,Nicosia,Genebra,Dubrovnik,Vaduz,Chisinau,Reykjavik,Valleta,Luxembourg City,Monaco,Andorra la Vella,San Marino,Munich,Manchester,Seville,Milan,Nice,Porto ,Istambul,
London,N/A,1h10,1h55,2h45,2h35,2h20,1h10,1h25,1h45,2h45,2h30,2h05,1h55,3h10,1h15,2h40,2h40,2h,2h30,2h20,2h20,2h30,3h,3h25,3h30,3h,2h55,3h,2h45,3h35,3h,1h40,5h20,1h35,2h50,1h45,3h25,3h,3h20,1h20,2h,2h30,2h25,2h05,1h05,2h50,2h05,2h20,2h25,4h20,London
Paris,1h20,N/A,1h50,2h15,1h55,2h05,1h20,1h,1h25,2h30,2h35,2h25,1h55,3h05,1h30,2h30,2h25,1h50,2h05,2h05,2h20,2h05,2h40,3h10,3h15,3h05,2h50,2h50,N/A,3h10,N/A,2h55,N/A,1h10,N/A,1h25,3h,3h30,2h55,1h20,1h30,2h,1h50,1h55,1h30,2h30,1h40,1h30,2h10,4h,Paris
Berlin,1h40,1h45,N/A,2h10,3h05,1h15,1h20,1h25,1h25,3h25,1h35,1h35,0h55,1h55,2h10,1h20,1h30,N/A,N/A,1h15,N/A,N/A,1h50,2h20,2h15,1h50,1h45,1h40,N/A,2h25,N/A,2h30,4h5,1h41,N/A,1h25,2h20,3h35,N/A,1h30,2h,2h45,1h45,1h10,1h55,N/A,1h45,N/A,3h10,3h,Berlin
Rome,2h25,2h,2h05,N/A,2h25,1h40,2h15,2h,1h30,2h55,3h10,3h15,2h35,3h30,3h,2h20,1h40,1h50,1h20,1h35,N/A,1h20,1h30,1h45,2h10,3h15,3h05,2h50,1h30,1h50,N/A,1h25,3h35,1h40,N/A,1h30,2h20,4h40,1h40,1h50,1h15,1h50,0h50,1h30,2h40,2h45,1h10,1h10,2h50,2h45,Rome
Madrid,2h45,2h05,3h15,2h35,N/A,3h10,2h40,2h25,2h25,1h15,4h05,3h50,3h10,4h25,2h35,3h55,3h20,3h10,N/A,3h10,N/A,N/A,3h20,3h45,4h05,N/A,N/A,N/A,N/A,N/A,N/A,3h40,N/A,2h05,N/A,2h25,N/A,4h25,2h55,2h30,2h,1h25,2h30,2h45,2h35,1h05,2h35,2h,1h15,4h35,Madrid
Vienna ,2h05,1h55,1h15,1h45,2h55,N/A,1h40,1h40,1h20,3h30,2h15,2h20,1h45,2h30,2h50,1h15,1h,0h55,0h55,N/A,N/A,0h55,1h15,1h35,1h40,2h25,2h,1h50,1h15,1h40,1h25,1h35,3h25,1h35,1h20,1h20,1h45,4h15,2h20,1h50,1h40,2h25,1h20,1h,2h20,3h05,1h25,1h40,6h25,2h25,Vienna 
Amsterdam,1h10,1h25,1h25,2h25,2h40,1h55,N/A,0h55,1h40,3h05,2h05,1h55,1h30,2h35,1h35,2h20,2h10,1h40,2h10,1h55,2h10,2h10,2h30,3h,3h,2h35,2h25,2h30,N/A,N/A,N/A,3h,4h50,1h45,N/A,1h40,N/A,3h10,N/A,1h10,2h05,2h30,2h05,1h40,1h20,3h,1h55,2h05,2h45,3h55,Amsterdam
Brussels,1h05,0h55,1h25,2h20,2h25,1h45,0h45,N/A,1h15,2h45,2h10,2h,1h30,2h45,1h40,2h10,2h10,1h30,2h05,1h45,1h45,2h05,N/A,2h55,2h50,2h35,2h30,2h30,2h20,3h,N/A,2h45,N/A,1h15,2h25,1h15,3h,N/A,3h,N/A,1h40,2h15,1h50,1h25,1h25,2h45,1h35,1h45,2h25,3h40,Brussels
Zurich,1h40,1h15,1h25,1h35,2h15,1h20,1h25,1h15,N/A,2h50,2h25,2h25,1h45,2h50,2h10,2h05,1h40,1h20,1h30,1h20,1h15,1h30,1h50,N/A,2h35,N/A,2h35,N/A,1h50,2h10,N/A,2h10,4h05,0h55,N/A,N/A,N/A,N/A,2h25,0h55,1h15,1h45,1h15,0h55,1h55,N/A,1h,1h15,5h,3h05,Zurich
Lisbon,2h40,2h30,3h45,3h10,1h25,3h45,3h,2h50,2h55,N/A,4h35,4h15,4h,4h55,2h50,4h25,4h,3h40,N/A,3h40,N/A,N/A,4h,N/A,4h55,N/A,4h45,4h45,N/A,N/A,N/A,N/A,N/A,2h40,N/A,2h55,N/A,4h25,3h30,2h55,2h45,2h,3h10,3h20,2h55,1h05,3h,2h50,1h,5h15,Lisbon
