,London,Paris,Berlin,Rome,Madrid,Vienna ,Amsterdam,Brussels,Zurich,Lisbon,Stockholm,Oslo,Copenhagen,Helsinki,Dublin,Warsaw,Budapest,Prague,Athens,Brastislava,Ljubljana,Zagreb,Belgrade,Sofia,Bucharest,Tallinn,Riga,Vilnius,Sarajevo,Skopje,Podgorica,Tirana,Nicosia,Genebra,Dubrovnik,Vaduz,Chisinau,Reykjavik,Valleta,Luxembourg City,Monaco,Andorra la Vella,San Marino,Munich,Manchester,Seville,Milan,Nice,Porto ,Istambul
London,N/A,2h23,13h14,N/A,22h09,N/A,4h49,2h04,N/A,N/A,N/A,N/A,N/A,N/A,9h20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2h06,N/A,N/A,9h26,N/A,N/A
Paris,2h18,N/A,14h41,14h,13h38,10h46,3h27,1h22,4h04,N/A,N/A,N/A,17h34,N/A,N/A,N/A,16h58,11h45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3h13,N/A,N/A,N/A,N/A,N/A,2h11,6h20,7h39,N/A,5h27,5h22,N/A,9h03,5h40,N/A,N/A
Berlin,9h58,10h57,N/A,21h50,N/A,8h25,5h52,7h40,8h20,N/A,N/A,N/A,8h08,N/A,N/A,5h05,12h20,4h14,N/A,9h22,17h57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12h15,N/A,N/A,N/A,N/A,N/A,8h29,N/A,N/A,N/A,5h46,N/A,N/A,12h57,N/A,N/A,N/A
Rome,N/A,14h52,22h07,N/A,N/A,13h01,N/A,22h50,7h01,N/A,N/A,N/A,27h40,N/A,N/A,N/A,23h30,N/A,N/A,21h23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7h31,N/A,N/A,N/A,N/A,N/A,N/A,6h47,N/A,3h42,9h40,N/A,N/A,2h50,8h06,N/A,N/A
Madrid,24h,10h07,N/A,N/A,N/A,N/A,N/A,12h23,N/A,8h48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2h37,N/A,12h47,8h23,N/A
Vienna ,N/A,11h11,9h59,N/A,N/A,N/A,12h46,11h09,8h23,N/A,N/A,N/A,17h18,N/A,N/A,7h30,2h29,4h,N/A,0h59,5h47,12h25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13h48,N/A,8h17,N/A,N/A,N/A,11h59,N/A,N/A,N/A,5h16,N/A,N/A,10h47,N/A,N/A,N/A
Amsterdam,4h11,3h31,5h57,N/A,N/A,12h32,N/A,2h01,8h54,N/A,N/A,N/A,11h49,N/A,N/A,12h26,16h04,11h59,N/A,13h43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6h56,N/A,N/A,N/A,7h38,N/A,N/A,N/A,N/A,N/A,N/A
Brussels,2h09,1h22,7h38,N/A,N/A,10h58,2h,N/A,8h36,N/A,N/A,N/A,16h31,N/A,N/A,13h59,20h55,11h07,N/A,12h19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6h47,N/A,N/A,N/A,N/A,N/A,N/A
Zurich,N/A,9h24,8h34,6h49,N/A,8h23,8h52,7h35,N/A,N/A,N/A,N/A,18h16,N/A,N/A,15h23,N/A,10h56,N/A,13h10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2h42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14h19,7h07,5h10,N/A,N/A,3h17,10h22,N/A,N/A
Lisbon,N/A,N/A,N/A,N/A,9h09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7h47,N/A,N/A,2h50,N/A
Stockholm,N/A,N/A,21h06,N/A,N/A,N/A,23h58,24h20,21h58,N/A,N/A,5h16,5h35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24h10,N/A,N/A,N/A,18h20,N/A,N/A,N/A,N/A,N/A,N/A
Oslo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5h13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Copenhagen,N/A,N/A,10h18,29h50,N/A,17h56,11h38,16h21,13h47,N/A,5h13,N/A,N/A,N/A,N/A,23h01,25h25,15h41,N/A,20h40,23h41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22h41,N/A,N/A,N/A,N/A,N/A,13h13,N/A,N/A,N/A,10h58,N/A,N/A,25h46,N/A,N/A,N/A
Helsinki,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dublin,17h02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Warsaw,N/A,22h16,11h44,N/A,N/A,7h36,12h49,19h43,14h48,N/A,N/A,N/A,17h05,N/A,N/A,N/A,N/A,9h02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19h42,N/A,N/A,N/A,N/A,N/A,14h24,N/A,N/A,N/A,11h39,N/A,N/A,N/A,N/A,N/A,N/A
Budapest,N/A,15h14,11h12,24h44,N/A,2h24,15h11,13h54,11h39,N/A,N/A,N/A,20h05,N/A,N/A,N/A,N/A,6h44,N/A,2h23,N/A,5h49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16h04,N/A,N/A,N/A,N/A,N/A,14h46,N/A,N/A,N/A,8h19,N/A,N/A,18h09,N/A,N/A,N/A
Prague,N/A,12h17,4h08,N/A,N/A,3h58,11h16,10h59,9h50,N/A,N/A,N/A,18h10,N/A,N/A,10h23,6h39,N/A,N/A,4h16,10h37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13h07,N/A,N/A,N/A,N/A,N/A,11h49,N/A,N/A,N/A,5h39,N/A,N/A,N/A,N/A,N/A,N/A
Athens,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brastislava,N/A,N/A,11h11,N/A,N/A,0h59,13h36,12h19,10h11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2h25,4h17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14h29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6h44,N/A,N/A,N/A,N/A,N/A,N/A
Ljubljana,N/A,17h12,14h10,N/A,N/A,5h40,N/A,14h15,11h54,N/A,N/A,N/A,24h46,N/A,N/A,N/A,N/A,N/A,N/A,7h22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10h34,N/A,N/A,N/A,17h54,N/A,N/A,N/A,7h05,N/A,N/A,N/A,N/A,N/A,N/A
Zagreb,N/A,N/A,N/A,14h52,N/A,6h49,21h19,22h52,19h04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11h31,2h18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13h02,N/A,N/A,N/A,N/A,N/A,N/A
Belgrade,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sofia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bucharest,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tallinn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Riga,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vilnius,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sarajevo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Skopje,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Podgorica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tirana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
