,London,Paris,Berlin,Madrid,Rome,Vienna,Warsaw,Budapest,Prague,Lisbon,Brussels,Dublin,Copenhagen,Stockholm,Oslo,Helsinki,Athens,Amsterdam,Zurich,Monaco,Bucharest,Sofia,Belgrade,Zagreb,Tallinn,Riga,Vilnius,Bratislava,Luxembourg City,Bern,Nicosia,Ljubljana,Marseille,Milan,Frankfurt,Munich,Valencia,Naples,Seville,Antwerp,Basel,Gothenburg,Bergen,Thessaloniki,Edinburgh,Porto,Krakow,Manchester,Bologna,Marseille.1,Valencia.1,Zurich.1
London,0.0,17.62,60.36,83.0,90.33,79.99,96.85,96.73,66.33,100.52,20.26,31.13,61.08,96.3,78.64,123.23,154.04,24.23,48.87,68.99,139.26,134.18,112.31,86.45,120.69,111.45,114.36,84.6,32.19,50.51,211.91,82.27,64.43,62.93,38.42,57.37,88.96,108.91,107.09,18.66,45.11,68.48,69.89,147.94,32.53,84.69,89.65,17.41,75.53,64.43,88.96,48.87
Paris,17.62,0.0,56.36,71.72,73.31,69.07,92.02,85.43,58.18,94.33,12.15,47.62,63.61,101.25,88.37,127.11,138.52,26.35,33.24,51.37,127.34,120.29,98.74,71.98,123.61,111.35,111.83,73.93,19.45,33.48,197.77,68.7,47.07,46.14,29.81,44.8,74.89,91.85,96.61,17.62,28.89,74.05,82.54,133.38,44.71,79.01,82.0,35.02,58.95,47.07,74.89,33.24
Berlin,60.36,56.36,0.0,120.72,74.3,32.91,36.49,46.96,15.54,148.46,44.49,85.81,22.67,55.94,60.58,77.17,116.02,36.49,44.17,73.11,87.37,89.55,68.65,52.81,72.12,56.26,55.47,35.24,39.77,53.16,164.55,45.52,77.72,55.46,27.63,31.14,117.3,89.1,145.54,42.16,46.96,37.31,67.84,105.2,49.32,133.83,31.66,67.97,60.12,77.72,117.3,44.17
Madrid,83.0,71.72,120.72,0.0,85.1,116.93,151.11,128.61,115.44,35.1,82.63,97.55,133.57,171.79,160.01,196.52,149.98,97.89,78.55,59.76,161.62,145.65,129.67,104.85,192.21,176.84,173.64,121.51,81.82,70.03,213.45,106.93,49.64,75.22,93.71,95.09,18.69,96.39,25.08,89.19,74.61,145.26,152.82,152.73,115.08,29.14,136.3,96.5,82.5,49.64,18.69,78.55
Rome,90.33,73.31,74.3,85.1,0.0,49.15,86.83,52.34,60.19,120.13,72.12,120.93,96.37,129.03,133.74,145.96,69.07,82.05,42.66,28.31,77.24,60.56,45.81,27.47,139.57,118.68,109.5,51.6,60.49,39.86,131.97,33.69,38.96,27.47,62.76,44.78,71.13,18.57,103.84,78.11,45.51,111.19,137.19,68.69,105.82,111.03,69.33,107.16,15.79,38.96,71.13,42.66
Vienna,79.99,69.07,32.91,116.93,49.15,0.0,38.02,16.75,17.73,149.16,60.14,109.63,55.05,82.01,92.63,97.01,83.2,60.13,40.73,59.6,59.35,57.61,36.09,22.82,90.5,69.54,61.07,4.96,49.64,47.82,134.31,15.66,68.02,42.05,41.61,24.8,108.51,60.25,140.04,61.82,45.65,69.09,100.75,72.97,79.1,136.38,20.8,92.29,39.25,68.02,108.51,40.73
Warsaw,96.85,92.02,36.49,151.11,86.83,38.02,0.0,38.29,35.84,181.3,80.49,121.35,45.44,53.38,74.61,61.55,104.3,72.87,72.58,96.48,64.24,74.81,59.51,59.63,54.52,32.4,23.19,35.24,73.99,81.12,141.15,53.16,103.87,78.35,62.34,56.05,144.62,95.87,175.16,78.62,76.74,53.54,88.56,90.27,82.17,167.36,17.52,103.61,77.17,103.87,144.62,72.58
Budapest,96.73,85.43,46.96,128.61,52.34,16.75,38.29,0.0,33.12,161.9,76.81,126.37,67.62,89.07,104.0,99.83,70.18,76.74,55.57,69.44,42.61,42.66,22.84,25.37,92.8,70.55,59.05,12.46,66.08,61.62,118.16,21.71,79.01,53.54,58.36,40.73,118.41,58.41,150.69,78.57,60.61,80.62,113.93,58.41,94.95,149.83,22.24,108.98,47.11,79.01,118.41,55.57
Prague,66.33,58.18,15.54,115.44,60.19,17.73,35.84,33.12,0.0,145.47,47.61,94.6,38.14,68.87,76.02,87.4,100.91,44.49,36.9,62.94,75.08,75.15,53.8,37.4,81.59,62.88,58.21,20.8,39.2,45.63,151.28,30.06,69.2,44.71,28.58,20.8,109.77,74.13,139.69,47.69,40.92,52.63,83.25,90.62,61.84,131.63,23.82,76.92,46.98,69.2,109.77,36.9
Lisbon,100.52,94.33,148.46,35.1,120.13,149.16,181.3,161.9,145.47,0.0,106.34,104.9,157.94,195.36,179.09,221.43,184.84,120.3,109.24,94.12,196.29,180.68,164.31,138.88,217.9,204.61,203.1,153.91,108.69,101.41,248.21,140.38,83.62,108.37,120.84,125.99,51.83,131.4,27.67,111.71,104.76,167.83,168.82,187.83,132.79,15.88,167.59,109.74,116.71,83.62,51.83,109.24
Brussels,20.26,12.15,44.49,82.63,72.12,60.14,80.49,76.81,47.61,106.34,0.0,51.17,51.68,89.55,78.32,115.17,134.13,15.54,29.67,54.09,119.24,113.92,92.04,66.29,111.57,99.21,99.89,64.85,12.15,33.17,191.66,62.01,52.14,44.71,19.06,37.11,84.21,90.62,107.65,7.41,26.67,62.66,74.25,127.74,37.34,91.1,71.35,35.49,56.79,52.14,84.21,29.67
Dublin,31.13,47.62,85.81,97.55,120.93,109.63,121.35,126.37,94.6,104.9,51.17,0.0,79.59,108.2,83.17,135.47,185.17,50.14,79.96,97.95,168.97,164.93,142.98,117.46,134.54,129.97,135.8,114.02,63.24,81.09,242.65,113.06,91.82,93.69,68.19,88.03,108.19,139.47,118.72,47.94,76.07,81.78,68.51,178.89,41.89,89.52,116.86,17.84,106.42,91.82,108.19,79.96
Copenhagen,61.08,63.61,22.67,133.57,96.37,55.05,45.44,67.62,38.14,157.94,51.68,79.59,0.0,38.26,37.91,63.5,137.57,38.01,62.14,92.16,105.39,110.18,90.04,75.48,60.14,50.86,56.37,56.75,52.19,70.71,183.12,68.18,95.13,75.48,41.21,52.09,132.79,111.63,158.66,46.35,63.69,14.83,46.33,125.99,38.24,142.57,48.65,62.66,81.68,95.13,132.79,62.14
Stockholm,96.3,101.25,55.94,171.79,129.03,82.01,53.38,89.07,68.87,195.36,89.55,108.2,38.26,0.0,30.98,27.35,157.49,75.07,99.27,128.84,116.97,128.12,111.56,104.65,26.71,32.62,46.79,81.66,90.42,108.08,192.37,97.29,132.67,111.38,79.21,87.08,170.94,142.1,196.87,83.71,101.3,27.83,49.39,143.64,67.23,179.81,66.85,93.57,115.64,132.67,170.94,99.27
Oslo,78.64,88.37,60.58,160.01,133.74,92.63,74.61,104.0,76.02,179.09,78.32,83.17,37.91,30.98,0.0,55.48,174.18,62.78,96.76,126.75,138.47,145.96,126.76,113.38,56.79,62.31,74.86,93.91,83.3,104.61,215.74,106.08,128.03,111.28,74.61,89.06,162.53,149.41,184.73,71.24,97.25,23.55,18.53,161.8,46.33,163.24,83.25,71.23,118.69,128.03,162.53,96.76
Helsinki,123.23,127.11,77.17,196.52,145.96,97.01,61.55,99.83,87.4,221.43,115.17,135.47,63.5,27.35,55.48,0.0,163.36,101.28,121.34,149.85,118.69,133.74,120.7,119.69,7.41,29.91,44.48,95.38,114.7,130.32,189.29,112.67,154.88,131.81,102.96,107.38,194.3,156.77,221.56,109.77,124.01,54.93,73.85,148.33,94.57,206.03,78.32,120.92,134.09,154.88,194.3,121.34
Athens,154.04,138.52,116.02,149.98,69.07,83.2,104.3,70.18,100.91,184.84,134.13,185.17,137.57,157.49,174.18,163.36,0.0,139.49,105.38,97.31,47.53,29.65,47.53,68.23,155.97,133.53,119.04,80.89,121.99,105.92,63.56,73.8,107.76,93.25,119.18,98.4,133.28,53.9,164.22,138.43,109.64,150.8,183.72,15.91,160.96,177.77,91.44,169.42,80.4,107.76,133.28,105.38
Amsterdam,24.23,26.35,36.49,97.89,82.05,60.13,72.87,76.74,44.49,120.3,15.54,50.14,38.01,75.07,62.78,101.28,139.49,0.0,39.77,67.46,119.24,116.82,94.83,71.33,98.14,87.6,90.13,64.3,22.73,45.52,194.21,65.8,66.72,55.46,20.38,41.16,99.75,100.13,122.86,8.73,38.29,47.72,59.3,131.5,23.92,104.79,66.86,32.43,66.3,66.72,99.75,39.77
Zurich,48.87,33.24,44.17,78.55,42.66,40.73,72.58,55.57,36.9,109.24,29.67,79.96,62.14,99.27,96.76,121.34,105.38,39.77,0.0,30.11,95.9,87.35,66.12,38.96,116.21,99.08,95.11,45.65,17.84,9.0,164.64,36.47,33.56,15.69,22.24,16.75,73.39,61.06,102.81,35.45,5.06,76.31,97.25,100.19,63.69,95.97,58.36,65.07,27.15,33.56,73.39,0.0
Monaco,68.99,51.37,73.11,59.76,28.31,59.6,96.48,69.44,62.94,94.12,54.09,97.95,92.16,128.84,126.75,149.85,97.31,67.46,30.11,0.0,102.21,87.63,70.22,45.14,144.32,125.74,119.64,63.74,44.77,22.24,160.28,47.76,10.84,18.26,52.14,42.48,49.09,44.75,81.25,61.2,29.65,106.41,126.34,96.78,91.02,83.83,80.09,86.38,22.75,10.84,49.09,30.11
Bucharest,139.26,127.34,87.37,161.62,77.24,59.35,64.24,42.61,75.08,196.29,119.24,168.97,105.39,116.97,138.47,118.69,47.53,119.24,95.9,102.21,0.0,22.01,31.99,58.58,111.29,89.46,74.29,54.97,108.19,100.44,77.74,59.48,112.86,90.02,100.94,82.57,148.35,72.36,181.08,121.17,100.92,116.32,151.11,31.63,136.46,185.82,56.79,151.55,79.88,112.86,148.35,95.9
Sofia,134.18,120.29,89.55,145.65,60.56,57.61,74.81,42.66,75.15,180.68,113.92,164.93,110.18,128.12,145.96,133.74,29.65,116.82,87.35,87.63,22.01,0.0,22.01,48.4,126.36,103.89,89.5,54.44,102.11,90.14,77.74,51.91,98.47,78.38,97.08,76.9,131.13,52.46,163.61,117.14,92.14,122.81,156.51,15.85,136.68,171.33,62.76,148.22,66.66,98.47,131.13,87.35
Belgrade,112.31,98.74,68.65,129.67,45.81,36.09,59.51,22.84,53.8,164.31,92.04,142.98,90.04,111.56,126.76,120.7,47.53,94.83,66.12,70.22,31.99,22.01,0.0,27.45,113.49,90.94,77.97,33.43,80.31,69.65,99.68,30.1,80.89,58.58,75.08,54.97,116.71,44.38,149.46,95.15,71.01,103.32,136.22,36.93,114.95,153.88,44.76,126.22,47.97,80.89,116.71,66.12
Zagreb,86.45,71.98,52.81,104.85,27.47,22.82,59.63,25.37,37.4,138.88,66.29,117.46,75.48,104.65,113.38,119.69,68.23,71.33,38.96,45.14,58.58,48.4,27.45,0.0,113.09,91.75,82.1,24.47,54.25,42.2,125.8,7.41,55.31,31.44,50.97,30.18,93.64,37.46,126.16,70.27,43.76,90.03,119.69,61.53,93.35,127.7,42.12,101.33,22.41,55.31,93.64,38.96
Tallinn,120.69,123.61,72.12,192.21,139.57,90.5,54.52,92.8,81.59,217.9,111.57,134.54,60.14,26.71,56.79,7.41,155.97,98.14,116.21,144.32,111.29,126.36,113.49,113.09,0.0,22.59,37.06,88.7,110.42,125.21,182.15,106.15,149.68,126.19,98.51,101.84,189.42,150.02,217.19,106.48,119.08,53.08,75.32,140.93,93.14,202.62,71.47,119.41,128.02,149.68,189.42,116.21
