,London,Paris,Berlin,Madrid,Rome,Vienna,Warsaw,Budapest,Prague,Lisbon,Brussels,Dublin,Copenhagen,Stockholm,Oslo,Helsinki,Athens,Amsterdam,Zurich,Monaco,Bucharest,Sofia,Belgrade,Zagreb,Tallinn,Riga,Vilnius,Bratislava,Luxembourg City,Bern,Nicosia,Ljubljana,Marseille,Milan,Frankfurt,Munich,Valencia,Naples,Seville,Antwerp,Basel,Gothenburg,Bergen,Thessaloniki,Edinburgh,Porto,Krakow,Manchester,Bologna,Marseille.1,Valencia.1,Zurich.1
London,0.0,52.87,181.09,249.0,271.0,239.98,290.56,290.18,198.98,301.55,60.79,93.38,183.25,288.91,235.92,369.68,462.13,72.69,146.62,206.97,417.77,402.55,336.92,259.34,362.06,334.35,343.07,253.79,96.58,151.54,635.74,246.81,193.29,188.8,115.27,172.1,266.87,326.72,321.26,55.97,135.33,205.43,209.68,443.83,97.58,254.08,268.94,52.23,226.6,193.29,266.87,146.62
Paris,52.87,0.0,169.08,215.17,219.94,207.2,276.05,256.29,174.54,282.98,36.45,142.86,190.84,303.76,265.1,381.34,415.55,79.05,99.71,154.1,382.01,360.87,296.23,215.94,370.84,334.04,335.48,221.79,58.35,100.43,593.31,206.09,141.22,138.41,89.44,134.39,224.66,275.56,289.83,52.87,86.66,222.16,247.61,400.15,134.13,237.04,246.0,105.07,176.84,141.22,224.66,99.71
Berlin,181.09,169.08,0.0,362.17,222.9,98.73,109.48,140.87,46.63,445.38,133.47,257.42,68.01,167.82,181.73,231.5,348.05,109.48,132.52,219.33,262.11,268.64,205.94,158.42,216.37,168.79,166.42,105.71,119.32,159.47,493.64,136.57,233.15,166.39,82.89,93.43,351.89,267.31,436.63,126.48,140.87,111.94,203.51,315.6,147.97,401.5,94.98,203.91,180.37,233.15,351.89,132.52
Madrid,249.0,215.17,362.17,0.0,255.31,350.8,453.34,385.83,346.31,105.31,247.88,292.66,400.72,515.37,480.02,589.55,449.95,293.67,235.65,179.28,484.85,436.95,389.01,314.56,576.63,530.51,520.92,364.53,245.47,210.09,640.36,320.78,148.93,225.67,281.12,285.27,56.07,289.17,75.25,267.56,223.84,435.77,458.47,458.19,345.24,87.41,408.89,289.5,247.49,148.93,56.07,235.65
Rome,271.0,219.94,222.9,255.31,0.0,147.46,260.5,157.02,180.56,360.38,216.35,362.8,289.11,387.1,401.23,437.87,207.22,246.16,127.98,84.93,231.71,181.67,137.44,82.41,418.7,356.04,328.49,154.8,181.47,119.58,395.92,101.06,116.87,82.41,188.27,134.35,213.39,55.72,311.53,234.33,136.52,333.58,411.57,206.07,317.47,333.1,207.99,321.47,47.36,116.87,213.39,127.98
Vienna,239.98,207.2,98.73,350.8,147.46,0.0,114.06,50.26,53.19,447.47,180.42,328.89,165.16,246.03,277.88,291.03,249.59,180.39,122.18,178.81,178.06,172.83,108.28,68.45,271.51,208.62,183.22,14.88,148.92,143.47,402.92,46.99,204.06,126.16,124.83,74.39,325.52,180.75,420.13,185.45,136.95,207.26,302.24,218.9,237.29,409.15,62.39,276.87,117.76,204.06,325.52,122.18
Warsaw,290.56,276.05,109.48,453.34,260.5,114.06,0.0,114.87,107.53,543.91,241.46,364.04,136.33,160.15,223.82,184.65,312.9,218.62,217.75,289.43,192.73,224.43,178.53,178.89,163.55,97.19,69.58,105.71,221.96,243.35,423.46,159.47,311.61,235.06,187.02,168.15,433.85,287.62,525.47,235.85,230.22,160.61,265.67,270.8,246.5,502.07,52.55,310.83,231.51,311.61,433.85,217.75
Budapest,290.18,256.29,140.87,385.83,157.02,50.26,114.87,0.0,99.36,485.69,230.43,379.1,202.87,267.2,312.0,299.5,210.55,230.22,166.7,208.33,127.82,127.98,68.51,76.12,278.41,211.64,177.16,37.38,198.23,184.86,354.47,65.14,237.03,160.63,175.08,122.18,355.22,175.24,452.08,235.7,181.83,241.86,341.78,175.24,284.86,449.49,66.72,326.95,141.33,237.03,355.22,166.7
Prague,198.98,174.54,46.63,346.31,180.56,53.19,107.53,99.36,0.0,436.42,142.84,283.79,114.43,206.62,228.06,262.2,302.72,133.47,110.71,188.81,225.23,225.46,161.39,112.2,244.77,188.64,174.64,62.39,117.6,136.88,453.83,90.19,207.59,134.12,85.75,62.39,329.31,222.39,419.07,143.08,122.77,157.89,249.76,271.85,185.51,394.88,71.46,230.77,140.95,207.59,329.31,110.71
Lisbon,301.55,282.98,445.38,105.31,360.38,447.47,543.91,485.69,436.42,0.0,319.01,314.7,473.82,586.09,537.28,664.3,554.51,360.89,327.71,282.37,588.87,542.05,492.92,416.65,653.7,613.82,609.3,461.73,326.07,304.22,744.63,421.15,250.87,325.11,362.52,377.96,155.48,394.21,83.01,335.12,314.28,503.48,506.47,563.48,398.38,47.63,502.78,329.21,350.14,250.87,155.48,327.71
