;London;Paris;Berlin;Rome;Madrid;Vienna ;Amsterdam;Brussels;Zurich;Lisbon;Stockholm;Oslo;Copenhagen;Helsinki;Dublin;Warsaw;Budapest;Prague;Athens;Brastislava;Ljubljana;Zagreb;Belgrade;Sofia;Bucharest;Tallinn;Riga;Vilnius;Sarajevo;Skopje;Podgorica;Tirana;Nicosia;Genebra;Dubrovnik;Vaduz;Chisinau;Reykjavik;Valleta;Luxembourg City;Monaco;Andorra la Vella;San Marino;Munich;Manchester;Seville;Milan;Nice;Porto ;Istambul
London;N/A;9h25;19h11;N/A;28h;30h;12h30;6h30;21h10;34h;43h;36h;27h;N/A;N/A;N/A;35h;25h;N/A;31h;N/A;33h;N/A;53h;51h;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;18h10;46h;N/A;N/A;N/A;N/A;9h20;N/A;N/A;N/A;22h15;4h10;N/A;23h30;24h;35h;N/A
Paris;3h;N/A;12h41;22h10;16h25;17h;6h35;3h15;9h20;22h20;37h;32h;20h20;N/A;N/A;23h15;20h20;13h25;N/A;18h05;20h05;22h20;N/A;38h;38h;N/A;N/A;31h;N/A;N/A;N/A;N/A;N/A;6h35;N/A;N/A;59h;N/A;N/A;5h10;13h20;N/A;23h;11h50;15h10;N/A;12h10;12h20;23h55;N/A
Berlin;19h55;12h35;N/A;20h;39h;10h45;10h;12h10;13h;45h;17h55;18h20;8h40;N/A;N/A;7h;10h50;3h55;N/A;10h;14h35;15h;22h05;24h;N/A;22h35;20h;15h20;N/A;N/A;N/A;N/A;N/A;16h55;N/A;N/A;N/A;N/A;N/A;11h30;N/A;N/A;25h;7h30;33h;N/A;16h10;N/A;N/A;N/A
Rome;44h05;24h;19h55;N/A;31h;19h35;26h;23h15;11h50;40h;45h;42h;N/A;N/A;N/A;29h;18h30;18h15;N/A;21h40;11h10;14h20;26h;32h;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;13h55;N/A;N/A;N/A;N/A;N/A;23h05;N/A;N/A;N/A;11h30;N/A;64h;7h35;9h40;46h;N/A
Madrid;32h56;16h45;35h;34h;N/A;38h;26h;21h25;30h;7h30;57h;N/A;N/A;N/A;N/A;42h;40h;34h;N/A;N/A;N/A;38h;N/A;50h;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;21h35;N/A;N/A;N/A;N/A;N/A;23h55;24h;11h50;N/A;30h;N/A;2h42;30h;17h15;7h34;N/A
Vienna ;32h;17h45;8h50;19h15;36h;N/A;19h30;17h50;11h;52h;29h;29h;20h30;N/A;N/A;9h;2h40;4h30;N/A;0h42;4h55;5h25;12h20;18h35;20h45;N/A;23h20;20h30;N/A;N/A;N/A;N/A;N/A;15h05;16h05;N/A;40h;N/A;N/A;14h40;N/A;N/A;22h05;5h05;N/A;N/A;11h55;17h20;N/A;N/A
Amsterdam;12h30;6h40;9h20;28h;24h;16h55;N/A;2h40;12h05;31h;28h;22h40;12h35;N/A;N/A;18h;20h35;12h10;N/A;19h;19h30;22h10;N/A;38h;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;15h20;N/A;N/A;N/A;N/A;N/A;5h55;29h;N/A;N/A;11h10;19h55;N/A;15h55;20h45;32h;N/A
Brussels;15h35;3h;12h10;22h25;21h15;20h30;2h45;N/A;8h45;29h;35h;27h;15h55;N/A;N/A;20h45;22h30;15h05;N/A;19h15;19h10;N/A;N/A;42h;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;11h;N/A;N/A;N/A;N/A;N/A;2h35;N/A;N/A;N/A;12h;21h;N/A;12h35;17h10;28h;N/A
Zurich;36h;9h35;12h25;15h40;26h;10h20;12h45;9h10;N/A;38h;34h;33h;22h40;N/A;N/A;20h25;14h35;10h40;N/A;N/A;10h20;12h55;21h15;36h;33h;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;25h;N/A;N/A;N/A;N/A;6h30;N/A;N/A;N/A;4h10;N/A;N/A;3h45;12h35;N/A;N/A
Lisbon;38h;46h;45h;46h;7h29;N/A;32h;28h;33h;N/A;67h;N/A;50h;N/A;N/A;52h;46h;45h;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;33h;N/A;N/A;N/A;N/A;N/A;42h;N/A;N/A;N/A;42h;N/A;6h14;36h;26h;3h15;N/A
